content,new,sentiment
"Fer zazzu cagandose de risa del video q hizo alma donde cuenta todo y en una exploto del llanto, flaco como te vas a reir de los sentimientos de la persona q mas te ama? Como se nota que sos un pelotudo que no le importa nada, que bronca los pibes asi de inmaduros","['fer', 'zazzu', 'cagandose', 'risa', 'video', 'q', 'hizo', 'alma', 'cuenta', 'exploto', 'llanto', 'flaco', 'reir', 'sentimientos', 'persona', 'q', 'nota', 'sos', 'pelotudo', 'importa', 'bronca', 'pibes', 'asi', 'inmaduros']",Positive
"""UN ROBO"":
Por las críticas hacia la decisión de los jueces en la pelea de Brian Castaño ante Jermell Charlo https://t.co/KmdLqPPMVG","['crticas', 'hacia', 'decisin', 'jueces', 'pelea', 'brian', 'castao', 'jermell', 'charlo', 'robo']",Positive
"Boxeo, o mejor conocido como, el deporte donde no importa lo que pase, mientras uno no duerma al otro el resultado ya está puesto.","['boxeo', 'mejor', 'conocido', 'deporte', 'importa', 'pase', 'mientras', 'duerma', 'resultado', 'puesto']",Positive
EMPATE. Lo han robado a Castaño. Así. LO ROBARON.,"['empate', 'robado', 'castao', 'robaron']",Negative
disculpa si te reaccioné la historia así es el emborrachamiento champagne,"['disculpa', 'reaccion', 'historia', 'emborrachamiento', 'champagne']",Positive
¡HOY JUEGA RIVER! ⚪️🔴⚪️ https://t.co/TuiTlGti1r,"['hoy', 'juega', 'river']",Positive
"QUE HACÉS, DEMENTE? https://t.co/e50fVTm2Do","['hacs', 'demente']",Negative
todo lo que quiero en esta vida.✨ https://t.co/fJ0tnZO5ga,"['quiero', 'vida']",Positive
Hoy hace exactamente 1 semana. EL REY. https://t.co/vEjhN9nbCi,"['hoy', 'hace', 'exactamente', 'semana', 'rey']",Positive
"Sábado 22:51.

El horario de la gloria eterna. https://t.co/cNDc7RMZ8g","['sbado', 'horario', 'gloria', 'eterna']",Positive
mira q yo no se un pingo de cine pero no puede ser que todos los cortometrajes de estudiantes de cine siempre tienen una escena levantandose de la cama y otra escena mirandose en el espejo del baño mientras la cámara enfoca a la persona de espalda y su cara en el reflejo POR QUÉ,"['mira', 'q', 'pingo', 'puede', 'ser', 'cortometrajes', 'estudiantes', 'siempre', 'escena', 'levantandose', 'cama', 'escena', 'mirandose', 'espejo', 'bao', 'mientras', 'cmara', 'enfoca', 'persona', 'espalda', 'reflejo']",Negative
Pov: estas por ser feliz en 2020 https://t.co/dxCs40iQwk,"['pov', 'ser', 'feliz']",Positive
Arriesgué contestando una historia y sólo hubo like https://t.co/799uB7mWWb,"['arriesgu', 'contestando', 'historia', 'slo', 'like']",Negative
Este niño se ganó mi corazón ♥️ https://t.co/BdYXytDljI,"['nio', 'gan', 'corazn']",Positive
"“Las últimas palabras de mi padre mientras lo ejecutaban: VIVA CUBA LIBRE”. 

Cartel de una madre cubana en Miami. https://t.co/FFzUZC6klD","['ltimas', 'palabras', 'padre', 'mientras', 'ejecutaban', 'viva', 'cuba', 'libre', 'madre', 'cubana', 'miami', 'cartel']",Positive
¡Gracias Miami! 🙏🇨🇺 #SOSCuba https://t.co/neGQMi7DOW,"['gracias', 'miami', 'soscuba']",Positive
m desmotivo en 0.5 segundos cuando veo cosas q no m gustan,"['desmotivo', 'segundos', 'veo', 'cosas', 'q', 'gustan']",Negative
igual ya lo dije mil veces pero la mejor escena del cine la tiene matilda cuando explota la tele y la madre le dice al padre “te dije que era trucha” y el padre le dice “no era trucha era ROBADA” kjjjj mi película de culto,"['igual', 'dije', 'mil', 'veces', 'mejor', 'escena', 'matilda', 'explota', 'madre', 'dice', 'padre', 'dije', 'trucha', 'padre', 'dice', 'trucha', 'robada', 'kjjjj', 'pelcula', 'culto']",Positive
Don’t vacillate. Vaccinate.,"['dont', 'vacillate', 'vaccinate']",Positive
meta https://t.co/YZLDIMFZEe,['meta'],Positive
"21:21 del sábado pasado. 🇦🇷❤️

 https://t.co/6yf6NjAvho","['sbado', 'pasado']",Positive
Hace exactamente una semana comenzaba la muerte del anti Messi para siempre. https://t.co/JjkT3sfHyA,"['hace', 'exactamente', 'semana', 'comenzaba', 'muerte', 'anti', 'messi', 'siempre']",Positive
"cuando luis miguel dice ""yo quiero que te besen otros labios para que me COMPARES"" bueno como vas a tener la pija tan grande","['luis', 'miguel', 'dice', 'quiero', 'besen', 'labios', 'compares', 'bueno', 'tener', 'pija', 'tan', 'grande']",Negative
ayer en el gimnasio una piba me habló demasiado y no se si me estaba tirando onda o si solo era buena onda pero voy a proceder a pensar que era buena onda porque en esta cuenta militamos el quedar como un lento antes que como un pajero,"['ayer', 'gimnasio', 'piba', 'habl', 'demasiado', 'tirando', 'onda', 'solo', 'buena', 'onda', 'voy', 'proceder', 'pensar', 'buena', 'onda', 'cuenta', 'militamos', 'quedar', 'lento', 'pajero']",Positive
"Creo que eliminaré mi cuenta...
Casi no tengo amigos, no interactúo con nadie, siento que soy molesto y es lo mejor para todos, sé que nadie va a extrañarme. 
¿Por qué sigues leyendo esto?, ¿te gusto? ¿quieres que nos besemos apasionadamente? ¿eso quieres?","['creo', 'eliminar', 'amigos', 'interacto', 'nadie', 'siento', 'molesto', 'mejor', 'nadie', 'extraarme', 'sigues', 'leyendo', 'gusto', 'quieres', 'besemos', 'apasionadamente', 'quieres', 'cuenta', 'casi']",Negative
La persona de derecha más graciosa: https://t.co/4DygISvPh4,"['persona', 'derecha', 'ms', 'graciosa']",Positive
"Gracias por la inesperada difusión de los #PenesDeMadera.
El debate generado no hace más que visibilizar y confirmar cuánto necesitamos Educación Sexual Integral (ESI) en nuestra sociedad.","['gracias', 'inesperada', 'difusin', 'debate', 'generado', 'hace', 'ms', 'visibilizar', 'confirmar', 'cunto', 'necesitamos', 'educacin', 'sexual', 'integral', 'esi', 'sociedad', 'penesdemadera']",Positive
24 hs tardó Estados Unidos en mandar 3.5 millones de vacunas. 8 meses tardó el gobierno en sacar un decreto permitiéndolo. 60.000 personas murieron en el medio.,"['hs', 'tard', 'unidos', 'mandar', 'millones', 'vacunas', 'meses', 'tard', 'gobierno', 'sacar', 'decreto', 'permitindolo', 'personas', 'murieron', 'medio']",Negative
me llamaron pa grabar y esta vaina se jodió @nickyjampr https://t.co/ZgGTaVK6yE,"['llamaron', 'grabar', 'vaina', 'jodi', 'nickyjampr']",Negative
"Preparándome para TortillaLand 😎

a https://t.co/Ji6QxJAH87","['preparndome', 'tortillaland']",Positive
"Novio se vacuna mañana, estoy re contenta pero anticipo dos días de esto: https://t.co/94NUDVK1nX","['novio', 'vacuna', 'maana', 'contenta', 'anticipo']",Negative
La juntada perfecta https://t.co/FmCbye5Zdj,"['juntada', 'perfecta']",Positive
me fui a ver con uno y no me creía que tenía 19 entonces me hizo mostrarle el documento https://t.co/sQdLXPAxgy,"['ver', 'crea', 'tena', 'entonces', 'hizo', 'mostrarle', 'documento']",Positive
Cancun - México 🇲🇽 https://t.co/wstoFjXqkA,"['cancun', 'mxico']",Positive
"estoy en un bar y viene a pedirme el número un italiano. se lo doy. me llega un mensaje de un Tiziano..... BLOQUEAR. la herida cultural y diplomatica sigue viva. sí, Tiziano del bar, tú no hiciste NADA. Pero Tiziano Ferro en el 2006 sí. Y POR UNO LA LLEVAN TODOS.","['bar', 'viene', 'pedirme', 'nmero', 'italiano', 'doy', 'llega', 'mensaje', 'tiziano', 'bloquear', 'herida', 'cultural', 'diplomatica', 'sigue', 'viva', 'tiziano', 'bar', 'hiciste', 'tiziano', 'ferro', 'llevan']",Positive
"Mi victoria, conocer a papá Piqué 🔥 https://t.co/h74EIkdTiZ","['victoria', 'conocer', 'pap', 'piqu']",Positive
Un fan me ha pedido una foto y no tenía batería en el móvil así que te la dejo por aquí. https://t.co/A2oNDoEeCc,"['fan', 'pedido', 'foto', 'tena', 'batera', 'mvil', 'dejo', 'aqu']",Positive
"Con 150 kilos y juego así????? 

Nahhh sin sentido https://t.co/vQiEsMdOfM","['kilos', 'juego', 'nahhh']",Negative
a queda de Ícaro por René Milot. https://t.co/MbHEmJG739,"['queda', 'caro', 'ren', 'milot']",Positive
Os regalo un selfie mío. Borro en 5 minutos. https://t.co/l0nsVQ2Y1D,"['regalo', 'selfie', 'mo', 'borro', 'minutos']",Positive
"VAMOSSSS!!!! ORGULLOSO DE GEMITA, PARTIDO DE LOCOS. GRACIAS A TODOS POR EL APOYO, GANAMOS EL DERBI VS IBAI ❤️🎾 https://t.co/D4ZZp025h5","['vamossss', 'orgulloso', 'gemita', 'partido', 'locos', 'gracias', 'apoyo', 'ganamos', 'derbi', 'vs', 'ibai']",Positive
a mi mis papás nunca m dieron ninguna charla d nada nomas cumpli 13 y mi viejo empezó a hacer chistes d sexo enfrente mio y ahi interprete q eso era el equivalente a mi esi,"['paps', 'nunca', 'dieron', 'ninguna', 'charla', 'nomas', 'cumpli', 'viejo', 'empez', 'hacer', 'chistes', 'sexo', 'enfrente', 'ahi', 'interprete', 'q', 'equivalente', 'esi']",Negative
"Demos la bienvenida que se merece a... 

¡Bienvenida @Mayicius! https://t.co/Ezbu5vi38e","['demos', 'bienvenida', 'merece', 'mayicius', 'bienvenida']",Positive
"Me vale verga todo, soy una mierda","['vale', 'verga', 'mierda']",Negative
la doctora dijo claramente que uno de los síntomas de la vacuna podía ser patear finales,"['doctora', 'dijo', 'claramente', 'sntomas', 'vacuna', 'poda', 'ser', 'patear', 'finales']",Negative
Eso de regalar frutas que sobran de los árboles tu casa le puede sorprender sólo a un porteño.,"['regalar', 'frutas', 'sobran', 'rboles', 'casa', 'puede', 'sorprender', 'slo', 'porteo']",Positive
JAJAJAJAJAJAJAJAJAJAJAJA EL MANEJO DE LA PANDEMIA DE MEXICO ES LA MAMADA https://t.co/BurQGku1Z2,"['jajajajajajajajajajajaja', 'manejo', 'pandemia', 'mexico', 'mamada']",Positive
"Nadie:
Una nutricionista en ig: La porción JUSTA✨😍
*Foto de 1/4 de alfajor*","['nutricionista', 'ig', 'porcin', 'alfajor', 'nadie', 'justa', 'foto']",Negative
"Tenias razón sech, pero no te voy a decir en qué.","['tenias', 'razn', 'sech', 'voy', 'decir']",Negative
a estas alturas del año yo ya debería estar fitness pero pasaron cosas,"['alturas', 'debera', 'fitness', 'pasaron', 'cosas']",Negative
"Si tu hijo vuelve del botellón sin sueño, sin hambre y con las pupilas dilatadas, el positivo a lo mejor no es por mí.","['hijo', 'vuelve', 'botelln', 'sueo', 'hambre', 'pupilas', 'dilatadas', 'positivo', 'mejor']",Negative
Conference Q&amp;A https://t.co/v8uzntSAAb,"['conference', 'qampa']",Positive
POÑOÑOÑOÑOÑOING https://t.co/9fXpIiQKBh,['pooooooing'],Positive
El contacto es mínimo https://t.co/tFbsXfNa0Z,"['contacto', 'mnimo']",Positive
Cuando hay interés no hay excusas. https://t.co/TeLHicLX4h,"['inters', 'excusas']",Positive
"acabo de terminar una relación con dos “amigas” mias, cuestion las amistades de 3 nunca funcionan :/ https://t.co/HGMmteP56M","['acabo', 'terminar', 'relacin', 'amigas', 'mias', 'cuestion', 'amistades', 'nunca', 'funcionan']",Negative
Llevo todo el día pensando en esta captura https://t.co/4BpJ6kNSLp,"['llevo', 'pensando', 'captura']",Positive
"Me vacuné porque quiero seguir viajando, porque quiero que esto acabe y porque he visto a mucha gente perder seres queridos. La vacuna no lo es todo pero es el GRAN paso. Por favor ignoren a los anti vacunas y si pueden VACÚNENSE!","['vacun', 'quiero', 'seguir', 'viajando', 'quiero', 'acabe', 'visto', 'mucha', 'gente', 'perder', 'seres', 'queridos', 'vacuna', 'gran', 'paso', 'favor', 'ignoren', 'anti', 'vacunas', 'pueden', 'vacnense']",Positive
"Nosotros: va chavales vamos a jugar un torneo de pádel entre risas 

un chaval Argentino después de que pierda Coscu: 

JAJSSKSKSKSDO nah no puedo https://t.co/oQGrvHYZ2D","['chavales', 'vamos', 'jugar', 'torneo', 'pdel', 'risas', 'chaval', 'argentino', 'despus', 'pierda', 'coscu', 'puedo', 'jajssksksksdo']",Negative
Mejor amar a un país llamándole matria que saquear un país llamándole patria.,"['mejor', 'amar', 'llamndole', 'matria', 'saquear', 'llamndole', 'patria']",Positive
Vinimos a buscar a shrek https://t.co/d15W8stpih,"['vinimos', 'buscar', 'shrek']",Positive
"Perdón, jugué como el orto 😔","['perdn', 'jugu', 'orto']",Negative
🤍 Tu momento favorito de @ToniKroos en el @RealMadrid:_______________ https://t.co/J4AimJFLbs,"['momento', 'favorito', 'tonikroos', 'realmadrid']",Positive
es increíble que mientras más cosas aprendes te dan más ganas de matarte el universo no debería funcionar así,"['increble', 'mientras', 'ms', 'cosas', 'aprendes', 'ms', 'ganas', 'matarte', 'universo', 'debera', 'funcionar']",Negative
"-Un padre muy enfadado a su hijo en el paseo marítimo: ¡¿SE PUEDE SABER PARA QUÉ CHUPAS ESO, TONTO DE LOS COJONES?!

-Yo: Jolín, no sé qué habrá chupado, pero qué exagerado

-Madre: ¿Qué pasa?

-Padre enfadado: ¡Una medusa!

-Yo: Pues sí, un poco tonto de los cojones sí que es.","['padre', 'enfadado', 'hijo', 'paseo', 'martimo', 'puede', 'saber', 'chupas', 'tonto', 'joln', 'habr', 'chupado', 'enfadado', 'pues', 'tonto', 'cojones', 'cojones', 'exagerado', 'madre', 'pasa', 'padre', 'medusa']",Positive
Lamentablemente uno no elige qué sentir.,"['lamentablemente', 'elige', 'sentir']",Positive
Así se festejó en China la Copa América de Messi. Poquito lo quieren en el mundo a Lionel. https://t.co/xlvU5ebBLB,"['festej', 'china', 'copa', 'amrica', 'messi', 'poquito', 'quieren', 'mundo', 'lionel']",Positive
JAJAJAJAJAJAA el tamaño https://t.co/qkYUozMMXQ,"['jajajajajajaa', 'tamao']",Positive
Sintonia 😌 https://t.co/znjisyqtLK,['sintonia'],Positive
los que nos pusimos la sinopharm: https://t.co/9IX3lUP1ZR,"['pusimos', 'sinopharm']",Positive
No puede ser que el camaragrafo no filmó esto. Que lo echen https://t.co/0OwPnrHt3I,"['puede', 'ser', 'camaragrafo', 'film', 'echen']",Negative
el frio y mi pelo son mejores amigos🤝 https://t.co/0pgZYNLP8j,"['frio', 'mejores', 'amigos']",Positive
Que lindo chapar me pasaría un día entero chapando cual adolescente si pudiera,"['lindo', 'chapar', 'pasara', 'entero', 'chapando', 'adolescente', 'pudiera']",Positive
"""Maldivas"":
Por la propuesta de casamiento de Nicolás Tagliafico en esas islas https://t.co/u3yHFU8Vds","['propuesta', 'casamiento', 'nicols', 'tagliafico', 'islas', 'maldivas']",Positive
"Disculpá que no te hablé durante un mes, así es la depresión champagne","['disculp', 'habl', 'depresin', 'champagne']",Negative
coger con la persona que te gusta es un viaje de ida,"['coger', 'persona', 'gusta', 'viaje', 'ida']",Positive
"Podemos poner copas, podemos limpiar tu casa, cuidar de los mayores, recoger frutas y verduras o sudar la gorda en la obra, pero eso sí, que no se nos ocurra batir récords.
#stopracism 
#VivaEspañaDiversa 🇪🇦
@mo_katir español, muleño y campeón 💪 https://t.co/fLyx4KupHp","['podemos', 'poner', 'copas', 'podemos', 'limpiar', 'casa', 'cuidar', 'mayores', 'recoger', 'frutas', 'verduras', 'sudar', 'gorda', 'obra', 'ocurra', 'batir', 'vivaespaadiversa', 'espaol', 'muleo', 'campen', 'rcords', 'stopracism', 'mokatir']",Negative
A mí me descuidan 4min en una fiesta y ya estoy en mi casa https://t.co/gqp7SaHby0,"['descuidan', 'fiesta', 'casa']",Negative
Le ganan a cualquiera en cualquier deporte. https://t.co/PWEzyGGe7v,"['ganan', 'cualquiera', 'cualquier', 'deporte']",Positive
"El chabon salio campeon, esta re bueno y le propone casamiento en Maldivas. Y una aca esperando que el patasucia haga algo bien. DIOS QUE ERROR HABER NACIDO https://t.co/p3HLQ95QyK","['chabon', 'salio', 'campeon', 'bueno', 'propone', 'casamiento', 'maldivas', 'aca', 'esperando', 'patasucia', 'haga', 'bien', 'dios', 'error', 'haber', 'nacido']",Positive
"De Paul cortina. Messi pone el alley. Papu la clava. 

Este video es LA FELICIDAD. https://t.co/QC7hLpHKkb","['paul', 'cortina', 'messi', 'pone', 'alley', 'papu', 'clava', 'video', 'felicidad']",Positive
Jsjsjsjs pero si nosotros acá regalamos paltas y mangos por dios no les da vergüenza ser TAN CIPAYOS DENME UN DÍA DE PAZ https://t.co/GXhHGLI2m5,"['jsjsjsjs', 'ac', 'regalamos', 'paltas', 'mangos', 'dios', 'vergenza', 'ser', 'tan', 'cipayos', 'denme', 'paz']",Positive
menos mal que salí caliente y no infiel,"['menos', 'mal', 'sal', 'caliente', 'infiel']",Negative
Hoy a la tarde iba a ver a una mina y me cancelo porque tenia turno para un PERFILADO DE CEJAS (!!!) llegaron las pijas de madera muchachos no nos necesitan mas,"['hoy', 'tarde', 'iba', 'ver', 'cancelo', 'tenia', 'turno', 'perfilado', 'cejas', 'llegaron', 'pijas', 'madera', 'muchachos', 'necesitan']",Negative
"Mi esi fue Casi Ángeles que en vez de decir ""vamos a coger"" decían ""vamos a rockandrollear"".","['esi', 'casi', 'ngeles', 'vez', 'decir', 'vamos', 'coger', 'decan', 'vamos', 'rockandrollear']",Negative
"psicólogo: no puedes saborear una imagen

*la imagen* https://t.co/5Qdg2xwnJV","['psiclogo', 'puedes', 'saborear', 'imagen', 'imagen']",Negative
China también festejó el sueño cumplido. https://t.co/xUg0IOFigU,"['china', 'tambin', 'festej', 'sueo', 'cumplido']",Positive
"Buena noticia : pronto, muy pronto, será aprobada en México la vacuna Moderna de perfil tecnológico similar al de Pfizer. Más y mejores opciones para el plan de vacunación 2021 y el que ya se diseña para el año entrante.","['buena', 'noticia', 'pronto', 'pronto', 'ser', 'aprobada', 'mxico', 'vacuna', 'moderna', 'perfil', 'tecnolgico', 'similar', 'pfizer', 'ms', 'mejores', 'opciones', 'plan', 'vacunacin', 'disea', 'entrante']",Positive
Confirmen mijines ! Mañana nos vemos✌🏽en París 🇫🇷 Thanks for your support @ineosgrenadiers 🙌🏽 📸 @gettysport https://t.co/BnQTffTHGj,"['confirmen', 'mijines', 'maana', 'vemosen', 'pars', 'thanks', 'support', 'ineosgrenadiers', 'gettysport']",Positive
no sé de q educación sexual hablan yo me crié con la escena de chucky y la novia q cuando estaban por coger ella le pregunta si tiene preservativo y el se enoja y le dice mirame hermana no ves q soy de goma? y siguen cogiendo,"['q', 'educacin', 'sexual', 'hablan', 'cri', 'escena', 'chucky', 'novia', 'q', 'coger', 'pregunta', 'preservativo', 'enoja', 'dice', 'mirame', 'hermana', 'q', 'goma', 'siguen', 'cogiendo']",Negative
Ustedes entienden que hay gente a la que no le interesa la comida nivel comen para SUBSISTIR me resulta inimaginable inconcebible no me alcanzan la imaginación ni la empatía para comprender,"['ustedes', 'entienden', 'gente', 'interesa', 'comida', 'nivel', 'comen', 'subsistir', 'resulta', 'inimaginable', 'inconcebible', 'alcanzan', 'imaginacin', 'empata', 'comprender']",Negative
cornuda comedy: miren este tarado que me contestó la historia🤭🤭🤭🤭🤭🤭,"['cornuda', 'comedy', 'miren', 'tarado', 'contest', 'historia']",Negative
Siempre es bueno recordar cuando los de marketing tenían huevos. https://t.co/SArYDJict9,"['siempre', 'bueno', 'recordar', 'marketing', 'tenan', 'huevos']",Positive
"Matria Europa, dicía Edgar Morin. Matria tamén nos textos de Unamuno, Borges, Virginia Woolf ou Julia Kristeva, que nos falou dun espazo que non ten que ver coa terra de nacemento, nin co Estado, senón cun lugar interior no que crear un cuarto propio. Esa é e será a nosa matria.","['matria', 'europa', 'dica', 'edgar', 'morin', 'matria', 'tamn', 'textos', 'unamuno', 'borges', 'virginia', 'woolf', 'julia', 'kristeva', 'falou', 'dun', 'espazo', 'ten', 'ver', 'coa', 'terra', 'nacemento', 'nin', 'co', 'senn', 'cun', 'lugar', 'interior', 'crear', 'cuarto', 'propio', 'ser', 'nosa', 'matria']",Positive
"Hace una hora, saliendo del metro en Barcelona, dos chavales obstruyendo las escaleras mecánicas.
Yo: Por favor, me dejan pasar?
Ellos: Qué pasa, maricón, tienes prisa?
Yo: La parte izquierda de las escaleras es para pasar.
Ellos: Al maricón este le gusta dar por culo.

1/2","['hace', 'hora', 'saliendo', 'metro', 'barcelona', 'chavales', 'obstruyendo', 'escaleras', 'favor', 'dejan', 'pasa', 'maricn', 'parte', 'izquierda', 'escaleras', 'maricn', 'gusta', 'mecnicas', 'pasar', 'prisa', 'pasar', 'culo']",Negative
"Con mi amigo Danilo, comerciante y precursor de nuestro movimiento en Copala, en la costa chica de Guerrero. https://t.co/mM9eB0tAhl","['amigo', 'danilo', 'comerciante', 'precursor', 'movimiento', 'copala', 'costa', 'chica', 'guerrero']",Positive
Cuando se separan y se ponen re gedes con hacer algo todos los días y que el vínculo con sus amigos sea como si nada después de fantasmear 3 años https://t.co/ecbtSHwVDp,"['separan', 'ponen', 'gedes', 'hacer', 'vnculo', 'amigos', 'despus', 'fantasmear']",Positive
Juntos hasta para comer pasta. LA DUPLA. https://t.co/BMD9IrpOS8,"['juntos', 'comer', 'pasta', 'dupla']",Positive
"me acuerdo en mi último año de futsal me agarré a piñas con uno y me cagó a palos. La revancha fue cuando llegué a casa y le seguí a la novia en ig.
Nunca me devolvió el follow, me derrotó completamente.","['acuerdo', 'ltimo', 'futsal', 'agarr', 'pias', 'cag', 'palos', 'revancha', 'llegu', 'casa', 'segu', 'novia', 'devolvi', 'follow', 'derrot', 'completamente', 'ig', 'nunca']",Negative
"Disculpame si me colé a tu 15, así es la adolescencia champagne.","['disculpame', 'adolescencia', 'champagne']",Negative
"EL MEJOR EVENTO DE TODO EL VERANO 

HOY AQUÍ PASAN COSAS 
https://t.co/cL2WMcjsI6 https://t.co/ZTnH1rHCB6","['mejor', 'evento', 'verano', 'aqu', 'pasan', 'cosas', 'hoy']",Positive
Porra Shen de novo 😅🥵 https://t.co/81s6r506wO,"['porra', 'shen', 'novo']",Negative
Están siendo unas vacaciones de locos https://t.co/LnqUci3UHw,"['estn', 'siendo', 'unas', 'vacaciones', 'locos']",Negative
"imaginad lo traumático que tiene que ser para una mosca montarse sin querer en un autobús en Albacete y de repente PUM sale del autobús en Madrid, sola, sin su familia ni amigos, ha perdido todo, casa, familia, pareja…","['imaginad', 'traumtico', 'ser', 'mosca', 'montarse', 'querer', 'autobs', 'albacete', 'repente', 'pum', 'autobs', 'madrid', 'sola', 'familia', 'amigos', 'perdido', 'casa', 'familia', 'pareja']",Positive
"Mi mamá: no quiero mas animales en esta casa

Yo con un gatito que encontré en la calle: nos lo quedamos? https://t.co/2NBhiBnxNF","['mam', 'quiero', 'animales', 'gatito', 'encontr', 'calle', 'quedamos', 'casa']",Positive
Como colectivo lleno. Óleo sobre lienzo. https://t.co/IDrzXEfpDY,"['colectivo', 'lleno', 'leo', 'lienzo']",Positive
Ya es hora de que estos dos le pongan título a la relación. https://t.co/ldZu8YBx5X,"['hora', 'pongan', 'ttulo', 'relacin']",Positive
"🔥 La LEGENDARIA SALIDA de Fernando Alonso que es HISTORIA de la #F1 🔥

Esto se nos queda grabado a fuego en la retina para siempre, @alo_oficial 👏👏👏

#F1Sprint 🔥 #BritishDAZNF1 🇬🇧 https://t.co/mMMNPJ9cmK","['legendaria', 'salida', 'fernando', 'alonso', 'historia', 'f', 'queda', 'grabado', 'fuego', 'retina', 'siempre', 'alooficial', 'britishdaznf', 'fsprint']",Positive
Mi ESI fue esta escena de Mean Girls https://t.co/KMN7Focijt,"['esi', 'escena', 'mean', 'girls']",Negative
Es un completo enfermo.  https://t.co/pk3XndmjrN,"['completo', 'enfermo']",Positive
Hablando de educación sexual cuando tenia 11 años mi finada y maravillosa abuela amanda así como quien no quiere la cosa me pregunto nena VOS YA TE SENTASTE EN LA PALANCA o n c e años cuando le pregunté a mis papás que quiso decir con eso les dio un acv,"['hablando', 'educacin', 'sexual', 'tenia', 'finada', 'maravillosa', 'abuela', 'amanda', 'quiere', 'cosa', 'pregunto', 'nena', 'sentaste', 'palanca', 'pregunt', 'paps', 'quiso', 'decir', 'dio', 'acv']",Negative
Liar https://t.co/alWdOCpaDH,['liar'],Negative
siempre tan hermosa. https://t.co/2zlcgL8Cgv,"['siempre', 'tan', 'hermosa']",Positive
"Track: fugitivos :) ft. @jaoromania 
((#DOCE22~18.07)) https://t.co/Z0ndVGZ5AD","['track', 'fugitivos', 'ft', 'jaoromania', 'doce']",Positive
Las Ojotas de Messi/ Las ojotas del pibe de reserva de Ferro. https://t.co/jOaRtdzEzQ,"['ojotas', 'messi', 'ojotas', 'pibe', 'reserva', 'ferro']",Positive
Me sigue impresionando que esto no haya tenido más relevancia mediática y social… https://t.co/DJEKGRQPz0,"['sigue', 'impresionando', 'ms', 'relevancia', 'meditica', 'social']",Positive
ustedes son muy jóvenes pero antes este tipo d fundas era el verdadero significado de CORNUDA https://t.co/17kpXkjBKm,"['ustedes', 'jvenes', 'tipo', 'fundas', 'verdadero', 'significado', 'cornuda']",Positive
Te amo con mi vida entera. https://t.co/MVh6oivxzP,"['amo', 'vida', 'entera']",Positive
Con un beso de ella yo me curo … 🩺,"['beso', 'curo']",Positive
tenía q ir a comprar y como tenía la calza con dos manchas de lavandina tuve que pintarlas con fibrón https://t.co/eYK2D8Zlj1,"['tena', 'q', 'ir', 'comprar', 'tena', 'calza', 'manchas', 'lavandina', 'pintarlas', 'fibrn']",Negative
