content,new,sentiment
1) внуки https://t.co/u0egGDCrda,[],Negative
"в честь выхода #PS5 твиттер сделал новую магию ✨

попробуй лайкнуть 🔥 https://t.co/bzocEL9tsJ",['ps'],Positive
Только что опубликовано фото https://t.co/mI8Fv7sbdF,[],Positive
"Все: в универе никто за вами не будет бегать, это только ваши проблемы 

Мой преподаватель: https://t.co/XTaDCCfps1",[],Positive
СУКА КАК ЖЕ БЕСИТ ЭТО ЗАПАЗДЫВАЮЩАЯ ЛАГАЮЩАЯ АНИМАЦИЯ ЛАЙКА НА ТВИТАХ С ХЭШТЕГОМ  #AppleEvent,['appleevent'],Negative
"твиттер опять заколдовал кнопку лайка
#AppleEvent https://t.co/4TT1TNnbyZ",['appleevent'],Positive
попробуй лайкнуть этот твит... магия😍😍😍 #AppleEvent https://t.co/MlzLV8v0p6,['appleevent'],Positive
как все начиналось // как все сейчас♥️ https://t.co/D11e8FZsL7,[],Positive
самое прекрасное видео 😭💛 https://t.co/letUHGtZXO,[],Positive
"Девочка: я так больше не могу

Женщина: сейчас поплачу и продолжу",[],Negative
"сделала штуку
🌙☀️ https://t.co/n252aApBlH",[],Positive
все что мне сейчас нужно это подобный контент. motherthemountain https://t.co/35fcIWdfn1,['motherthemountain'],Positive
"Тред для тех кто любит анимации твиттера так же как и я

#YouJustStartedaBook https://t.co/zRGsJMAALw",['youjuststartedabook'],Positive
"Меня так бесят эти советы по финансовой грамотности по типу ""вместо того чтоб регулярно покупать себе кофе в кофейне, лучше бы отклыдывали их и инвестировали""
Бля чувак, покупая вкусный кофе в милой кофейне я инвестирую в  свою любовь к жизни",[],Negative
попробуй лайкнуть этот твит.... магия✨🤤 #WearAMask https://t.co/ugoU24GaTT,['wearamask'],Negative
сегодня мою маму впервые вызвали на ковёр к директрисе школы. за то что я по приколу пришла в школу в пижаме. она. пришла к ней. в такой же. пижаме. лучшая женщина в мире.,[],Positive
ситуация следующая https://t.co/wNQJNCYRNj,[],Positive
"МОЙ ВУЗ ЛУЧШИЙ БЛЯТЬ

НАМ ДАЖЕ ВИДОС СКИНУЛИ, БОЖЕ https://t.co/CdjV2Pa1Z4",[],Negative
"#JuntosSomos 
#BlackJoy #AppleEvent
ничего не говори, просто лайкни. https://t.co/Ey0fkFMyRa","['juntossomos', 'appleevent', 'blackjoy']",Negative
"#AlwaysProud

лакните этот твит:)) https://t.co/n83le8rke4",['alwaysproud'],Positive
"тред для снятия стресса

попадай пальцем по лайку и кайфуй

#JuntosSomos
#AppleEvent https://t.co/GCLBBKjJUC","['juntossomos', 'appleevent']",Positive
"ОГО ЕЩЕ ОДНА КРУТАЯ АНИМАЦИЯ ЛАЙКА ТВИТА!
 #AppleEvent 

(лайкните этот твит или любой твит по этому хэштеги, чтоб увидеть анимацию )",['appleevent'],Positive
"— Почему ты асексуал?
— Не ебу.",[],Negative
попробуй лайкнуть этот твит..... м а г и я🤩🤩 #AppleEvent https://t.co/caXac1XOzh,['appleevent'],Positive
"«Привет, это Навальный» https://t.co/oqLaw0mXoe",[],Negative
Однажды @yurydud сделал ноготочки и получил в итоге лучший комментарий в истории всего инстаграма https://t.co/rAKvT160Ax,['yurydud'],Positive
"ХОТИТЕ ПРИКОЛДЕС??
ПРОСТО ЛАЙКНИТЕ 

#ドラクエウォーク https://t.co/SkQkjBZnEW",[],Positive
С такой группой поддержки все точно получится! https://t.co/l8ofRr4VT8,[],Positive
"прекратите ныть, я оплатила учебу в универе и купила квартиру потому ЭКОНОМИЛА.

это несложно:

-я пила кофе дома
-ездила в метро вместо такси
-ходила со своим пакетом
-родители оплатили мне учебу и квартиру, потому что я их любимая доченька
-закупалась на распродажах",[],Negative
Хрюкнула https://t.co/Hmx7lnlSAb,[],Positive
Новости об Алексее. Сегодня его вывели из искусственной комы. Постепенно его отключат от ИВЛ. Он реагирует на речь и на обращения к нему,[],Positive
"Пока из всего 2020 года, самая хорошая новость только про то, что если поставить лайк на твит с хештэгом #Mulan , то появится крутая анимация",['mulan'],Positive
Аааааа какая клевая анимация лайков у твитов с хэштегом  #Mulan,['mulan'],Positive
лайкните этот твит и увидите приколдес высшего уровня #Mulan,['mulan'],Positive
"ФАВНИТЕ ЭТОТ ТВИТ И ПОСМОТРИТЕ ЧТО БУДЕТ

#Mulan https://t.co/q0VwChRLGc",['mulan'],Positive
"Стоматолог: какую пасту предпочитаете?
Я: карбонару
Стоматолог: 🗿",[],Negative
Делюсь с вами своей болью через говномультики https://t.co/TaR3T3OG8m,[],Positive
"Когда 17 летний сосед здоровается со мной словом «Здравствуйте», то я всегда отвечаю «Привет», чтобы показать, что я ещё молод и с ним на одной волне, типа тоже слушаю Аврил Лавин и Токио Хотел",[],Positive
бляя короче лет 12 назад на нашем этаже поселилась бабуля которая месяца 2 звала меня в гости и когда мы с мамой гуляли на площадке она рассказывала что ее дети кинули одну она скучает и тд. я постоянно загуливалась и не успевала зайти к ней а потом ее арестовали) за каннибализм),[],Negative
ЕБААААТЬ https://t.co/adSrgAGe4L,[],Positive
"Самолёт с Алексеем вылетел в Берлин.
Огромное спасибо всем за поддержку. Борьба за жизнь и здоровье Алексея только начинается, и предстоит пройти еще очень много, но сейчас хотя бы сделан первый шаг",[],Positive
взаимодействуйте с этим твитом если незнакомый мужчина хоть раз заставлял вас чувствовать себя некомфортно,[],Negative
"Просто хочу попросить: не злитесь, когда пожилые родственники изо дня в день отправляют вам картинки с котиками и ангелами в Whatsapp. Эти картинки им действительно нравятся, они так пытаются общаться и делать вам приятно. Не обижайте их раздражением и пренебрежением, пожалуйста",['whatsapp'],Negative
"Учитель: поставьте оценку за работу себе сами 

Мы с другом: https://t.co/wlJEhvJwL0",[],Positive
попробуй лайкнуть этот твит.... магия🤩✨ #OurPlanet https://t.co/fNv1VsG3jH,['ourplanet'],Negative
попробуйте лайкнуть этот твит... магия✨🤩 #AlwaysProud https://t.co/idPB3IOfIR,['alwaysproud'],Negative
"Россия: МЫ ЗАПРЕТИМ РАДУГУ
Твиттер: если вы жмякнете на сердечко, появится радуга
Россия:..
Твиттер: возможно, это даже изменит вашу ориента...
Россияне: *агрессивно жмякают лайк*

#AlwaysProud",['alwaysproud'],Negative
"Почему у всех кнопка лайка радужная, а у меня обычная??
#AlwaysProud",['alwaysproud'],Negative
Сука https://t.co/ELwoU1JHUl,[],Negative
"Помогите нам удалить товарища Д. Дж. Трампа из Белого дома!

Поддержите @ProjectLincoln!

https://t.co/4b9IbISzzC",['projectlincoln'],Positive
щас умру https://t.co/kWytnakF1D,[],Positive
НАСТРОЕНИЕ ТАКОЕ https://t.co/iXyyc7F3Hx,[],Positive
"Моя подруга рассталась с парнем и он слил ее нюдсы (на некоторых видно ее лицо) в сеть. Он надеялся, что затравят девушку, но затравили его. Его поступок назвали подлым и низким и сказали что он долбоёб, которого они ещё не раз об асфальт приложат за этот поступок
 
Урыли уёбка🙂",[],Negative
"оказывается, можно сделать прикольно и с юмором, но без сексизма и голых жоп на весь плакат! https://t.co/FLXLu1WKvE",[],Positive
"Мне кажется люди вне СНГ охуеют, если увидят фото кварцевания https://t.co/rzkXSksFWc",[],Positive
хозяйка лесa https://t.co/xGVmbaEr4p,[],Positive
Гном Гномыч если тебе нужен билет куда угодно моргни два раза https://t.co/7XbwqQUBLg,[],Positive
*какая-то шутка про металгир* https://t.co/25AKyK9Ls8,[],Positive
"Почти два года назад я случайно через Сбербанк онлайн перевела деньги на неправильный номер.
 
Спустя почти два года, в тот момент, когда я сижу без работы и больших перспектив, эти деньги вернулись обратно. 

Вселенная добра и удивительна. https://t.co/iCusze7aSK",[],Positive
Хочется простого человеческого одеваться вот ТАК https://t.co/Bj69F5kxdN,[],Positive
Современные пятилетние девочки выглядят как фарфоровые куколки. Я в свои пять была похожа на председателя жэка https://t.co/tPEoOkXYMO,[],Negative
"Гляньте, какого интересного кота встретила 😃 https://t.co/wN9Y7DvRKp",[],Positive
@RBReich идиот,['rbreich'],Negative
БЛЯЯЯЯЯ захожу к маме сказать что ким чен ын умер и она просто «вика я не разбираюсь в твоих танцующих мальчиках»,[],Negative
"помогла подружке с дистанционкой по английскому, а она полностью скопировала мое сообщение и отправила его ВОТ ТАК я все https://t.co/pznBvDNbcL",[],Negative
"Бабушка рассказывает, что местный священник не верит в вирус, аргументируя это тем, что он не может верить в существование того, чего не видел, поэтому литургия не отменяется.

Я ещё раз повторяю: священник сказал, что не может верить в существование того, чего не видел.",[],Negative
"Что-то смогла 👌
#SixFanarts https://t.co/ViKNmomsco",['sixfanarts'],Positive
"Путин реально неадекватен. Он не понимает или не хочет понимать самой простой вещи: У ЛЮДЕЙ НЕТ ДЕНЕГ, ЧТОБЫ ПРОСТО СИДЕТЬ ДОМА БЕЗ РАБОТЫ. А у работодателей нет денег, чтобы всем платить просто так. 
Ни одного слова об это не сказано. Ни рубля поддержки людям. Предатель.",[],Negative
хаха только щас поняла что на Пасху будет закрыт храм гроба Господня а значит благодатный огонь не снизойдёт а по преданию в такой год родится антихрист и будет второе пришествие Христа,[],Positive
"такие дела 
#bts #JUNGKOOK https://t.co/kZ2F3YoW7M","['jungkook', 'bts']",Positive
"Чему пандемия научит человечество:

1. Очное образование устарело;
2. Живые совещания можно не проводить в 90% случаев;
3. Большую часть офисной работы можно делать откуда угодно;
4. Треть людей на работе тупо просиживают штаны и ничего не делают; 
5. Люди тупые.",[],Negative
"ШОК-КОНТЕНТ! Пёсель обожрался малинового варенья, задремал, и чуть не довёл свою хозяйку до инфаркта. https://t.co/JQXR2s10uh",[],Negative
"Р Е М И С С И Я 

Это случилось, я победил рак!",[],Positive
как нужно выглядеть чтобы вам сдали квартиру https://t.co/XMe63MweLZ,[],Negative
"Ровно год назад погибла моя сестра Василиса, ей было 14 лет. Погибла из-за нелепой случайности, после того, как кто-то сказал ей в школе, что она толстая и она вечером, съев чипсы и шоколад решила вызвать рвоту и выпила ~40 таблеток ношпы. https://t.co/YrbdkNtA2s",[],Positive
"Хотите трогательную историю, у меня заказали Дедушку Мороза на дом в следующие выходные. Мама звонит и такая счастливая: «Дочка была 4 месяца в коме, малёха проспала новый год». 
Готовлю костюм, расчёсываю бороду и реву.",[],Positive
"Мы очень рады вернуться в Россию, особенно потому что в этот раз с нами будет Майки Вей, которого не было в прошлый раз! https://t.co/CYAshxBeVj",[],Positive
Зимняя рыбалка говоришь? Да что ты знаешь о ней?)) https://t.co/BI2G5FY3mG,[],Positive
"Я мажу лыжи вазелином
Я обожаю чёрный цвет... https://t.co/r5ILVzGFTq",[],Positive
"bueno como dijo Vladimir Я собираюсь убить себя, потому что я не могу спать","['bueno', 'dijo', 'vladimir']",Negative
"Закрыли выход на Чкаловской, теперь там бесконечный перфоманс. Выглядит охуенно. https://t.co/5lPXgcKAdn",[],Negative
"природа: ну мужские и женские лица в целом не особо сильно отличаются. есть пара моментов, но мы все еще один вид!

любая блять анимационная студия: https://t.co/zapD050xYv",[],Negative
Самое веселое что было на старконе https://t.co/QaeK4ZVjVP,[],Positive
"Пока, октябрь https://t.co/kDaIPFmsih",[],Positive
"Братик говорит: ""Билл Гейтс бросил учебу и смотри что у него вышло"". Пытаюсь объяснить, что Билл Гейтс все-таки бросил Гарвард, а не общеобразовательную школу в Уфе",[],Negative
Опять эти неугомонные парни.) https://t.co/nrZ7qvcEDZ,[],Positive
"Этому ролику 15 лет
Мне стало очень грустна https://t.co/EwCRNg8A8j",[],Negative
"Лет 7 назад мы с товарищем забронировали через сайт кинотеатра много билетов на один сеанс так, чтобы на схеме зала получалось огромное слово «ХУЙ» и каждый, кто подходит в кассу купить билет, это видел.

Тогда мне казалось, что это очень смешно. И сейчас кажется.",[],Positive
"Моей маме 43, а она всё ещё может увести у меня любого мужика... https://t.co/s6kNhu7Mdd",[],Positive
"если людям полезно, то запощу и сюда. локально-мемный стадик https://t.co/5PASxYuv0F",[],Positive
"Парень, сидящий рядом со мной в метро, смотрел сериал ""Менталист"", ну я тоже начал смотреть. Он заметил это и включил для меня субтитры. Короче, чувак, если ты это читаешь, знай, что я готов позаботиться о твоих детях, если с тобой что-то случится. И ты приглашен на мою свадьбу",[],Negative
"Горят леса?
  Игнорировать. 

Люди требуют справедливости в столице?
  Игнорировать. 

Покататься на субмарине?
  - Ууу, а можно она будет вся стеклянная, что б я видел рыбок со всех сторон!)))",[],Negative
"ты: ну где же мой автобус, они там что, по депо круги нарезают?
автобусы: https://t.co/fJIzso4uoL",[],Negative
стоит орёт https://t.co/DyJJbeni0z,[],Positive
Рубрика рабочий чат https://t.co/DS14FxY99P,[],Positive
"Три возраста или мама, бабуля и я https://t.co/fa18sbWLLn",[],Positive
"ИНСТАГРАМ: *сдох*
ФЕЙСБУК: *сдох*
ВОТСАП: *сдох*
ТВИТТЕР: https://t.co/RVrw5Jmgmn",[],Positive
"Россия, спасибо!! Мы вас любим!! До скорых встреч!!

#NCT127inMoscow
#NEOCITYinRUSSIA #NCT127inRUSSIA
#NCT127TOTHEWORLD
#NCT127_1st_World_Tour https://t.co/RZ4tIaOVzQ","['nctinrussiancttotheworldnctstworldtour', 'nctinmoscow', 'neocityinrussia']",Positive
"эх твиттерские, вы даже не вкурсе что можно ставить два лайка на каждом посту... попробуй на этом твите.",[],Negative
"До встречи💚

#NEOCITYinRUSSIA #NCT127inRUSSIA
#NCT127TOTHEWORLD
#NCT127_1st_World_Tour https://t.co/1Wyuk1nFz5","['nctinrussiancttotheworldnctstworldtour', 'neocityinrussia']",Positive
"Тоже что ли вспомню свой 20!!!16.... мда.. давно это было, надо обновлять https://t.co/QX2BTj3qO8",[],Positive
"Если вам пришлось перевести, чтобы прочитать это, заприте свои двери. Я иду за тобой.",[],Positive
"Если вы поставите лайк твиту с хештегом #桜, то увидите очень красивую анимацию.
А если ретвитните, то вообще будете счастливы до конца своих дней!",[],Positive
@ntvru хаха офигенно,['ntvru'],Positive
Увидимся завтра! https://t.co/SXktjkWj5R,[],Positive
Турецкий чёрт перешёл все границы! https://t.co/dESfBkkiP7,[],Positive
Три стадии опьянения женщины. https://t.co/r7Wunn6FXm,[],Positive
СУКАААААААААААА я сейчас вместо НА СЛЕДУЮЩЕЙ ОСТАНОВИТЕ сказала спокойной ночи !!!!!! На всю маршрутку !!!!!!!,[],Negative
"Тут выяснилось, что календарь 2007 года совпадает с календарем 2018. 
Господа, мы вернули 2007.",[],Positive
"Ничего не пишите, я сам в а#@е",[],Negative
изи https://t.co/Mki7iyK6o0,[],Positive
"Ребята, я из США , писать через переводчик гугл
Я вам очень соболезную, такая трагедия произошла, сам в шок.
Очень много соболезнуют люди вам из Калифорнии, знаю слегка русский, приносят соболезнования, из-за халатности сотрудников столько жертв..
Самому трудно поверит
#Кемерово",[],Positive
"Друзья познаются в беде, а не в радости. https://t.co/A2hcfQ8JNI",[],Positive
с днём святого валентина одинокая блядина!,[],Positive
"на олимпиаде у младших было задание ""напишите сочинение от лица лошади"" и один поц написал что-то типа ""ииии-го-го фырррр тыг дык тыг дык"" и так целый лист не все герои носят плащи",[],Negative
"Я роняю Запад, у",[],Negative
Круто. https://t.co/RGTpF83wca,[],Positive
"Попросила мужа посмотреть, че мне там с ламоды пришло https://t.co/BdaTPKaAu8",[],Negative
Рубрика «Проучи школьника» https://t.co/g0ErQX9V91,[],Positive
почему мне так смешно https://t.co/jEHMUf5oTf,[],Positive
Удивительное рядом https://t.co/4ZL2nM5fUg,[],Positive
я снаружи//я внутри https://t.co/WDgjX1oLw2,[],Positive
Угадайте что за надпись ?) https://t.co/A8GjCyFY4X,[],Positive
Помогите остановиться смеяться 😂😂😂 https://t.co/y7i3rfyDke,[],Positive
"думаю о тебе, Россия. #StPetersburg",['stpetersburg'],Positive
"Искренние соболезнования всем, кого коснулась трагедия в Санкт-Петербурге 🇷🇺",[],Positive
пиздец выглядит вот так https://t.co/F8JmEHZhzI,[],Positive
БААААКААААА https://t.co/bs6e2lor3X,[],Positive
